​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ CONST:0.3 0.15 550 0.35 0.0005 250
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
​ 915 29 19
​ 916 29 19
​ 917 29 19
​ 918 29 19
​ 919 29 19
​ 920 29 19
​ 921 29 19
​ 922 29 19
​ 923 29 18
​ 924 28 18
​ 925 27 18
​ 926 26 19
​ 927 26 19
​ 928 26 19
​ 929 26 19
​ 930 26 19
​ 931 26 19
​ 932 26 19
​ 933 26 19
​ 934 26 19
​ 935 26 18
​ 936 25 19
​ 937 25 19
​ 938 25 19
​ 939 25 19
​ 940 25 19
​ 941 25 19
​ 942 25 19
​ 943 24 19
​ 944 24 19
​ 945 24 19
​ 946 24 19
​ 947 24 19
​ 948 24 19
​ 949 24 19
​ 950 24 19
​ 951 24 19
​ 952 24 19
​ 953 24 19
​ 954 24 19
​ 955 24 19
​ 956 24 19
​ 957 24 19
​ 958 24 19
​ 959 24 19
​ 960 24 19
​ 961 23 18
​ 962 22 19
​ 963 22 19
​ 964 22 19
​ 965 22 19
​ 966 22 19
​ 967 21 19
​ 968 21 19
​ 969 20 19
​ 970 20 19
​ 971 20 19
​ 972 20 19
​ 973 20 18
​ 974 19 18
​ 975 18 19
​ 976 18 19
​ 977 18 19
​ 978 18 19
​ 979 18 19
​ 980 18 19
​ 981 18 19
​ 982 18 19
​ 983 18 19
​ 984 18 19
​ 985 18 19
​ 986 18 19
​ 987 18 19
​ 988 18 18
​ 989 17 19
​ 990 17 18
​ 991 16 19
​ 992 16 19
​ 993 16 19
​ 994 16 19
​ 995 16 19
​ 996 16 19
​ 997 16 19
​ 998 16 18
​ 999 15 18
​ 1000 14 19
​ 1001 14 19
​ 1002 14 19
​ 1003 14 19
​ 1004 14 19
​ 1005 14 19
​ 1006 14 19
​ 1007 14 19
​ 1008 14 19
​ 1009 14 19
​ 1010 14 19
​ 1011 14 19
​ 1012 14 19
​ 1013 14 19
​ 1014 14 19
​ 1015 14 18
​ 1016 12 20
​ 1017 12 20
​ 1018 12 20
​ 1019 12 20
​ 1020 12 20
​ 1021 12 20
​ 1022 12 20
​ 1023 12 20
​ 1024 12 20
​ 1025 12 20
​ 1026 12 20
​ 1027 12 20
​ 1028 12 20
​ 1029 12 20
​ 1030 12 20
​ 1031 12 20
​ 1032 12 20
​ 1033 12 20
​ 1034 12 20
​ 1035 12 20
​ 1036 12 20
​ 1037 12 20
​ 1038 12 20
​ 1039 12 20
​ 1040 12 20
​ 1041 12 20
​ 1042 12 20
​ 1043 12 20
​ 1044 12 20
​ 1045 12 20
​ 1046 12 20
​ 1047 12 20
​ 1048 12 20
​ 1049 12 20
​ 1050 12 20
​ 1051 12 20
​ 1052 12 20
​ 1053 12 20
​ 1054 12 20
​ 1055 12 20
​ 1056 12 20
​ 1057 12 20
​ 1058 12 20
​ 1059 12 20
​ 1060 12 20
​ 1061 12 20
​ 1062 12 20
​ 1063 11 20
​ 1064 11 20
​ 1065 11 20
​ 1066 11 19
​ 1067 10 20
​ 1068 10 20
​ 1069 10 20
​ 1070 10 20
​ 1071 10 20
​ 1072 10 20
​ 1073 10 20
​ 1074 10 20
​ 1075 10 20
​ 1076 10 20
​ 1077 10 20
​ 1078 10 20
​ 1079 10 20
​ 1080 10 20
​ 1081 10 20
​ 1082 10 20
​ 1083 10 20
build.js:112 1084 10 20
build.js:112 1085 10 20
build.js:112 1086 10 20
build.js:112 1087 10 20
build.js:112 1088 10 20
build.js:112 1089 10 20
build.js:112 1090 10 20
build.js:112 1091 10 20
build.js:112 1092 10 20
build.js:112 1093 10 20
build.js:112 1094 10 20
build.js:112 1095 10 20
build.js:112 1096 10 20
build.js:112 1097 10 20
build.js:112 1098 10 20
build.js:112 1099 10 20
build.js:112 1100 10 20
build.js:112 1101 10 20
build.js:112 1102 10 20
build.js:112 1103 10 20
build.js:112 1104 10 20
build.js:112 1105 10 20
build.js:112 1106 10 20
build.js:112 1107 10 20
build.js:112 1108 10 20
build.js:112 1109 10 20
build.js:112 1110 10 20
build.js:112 1111 10 20
build.js:112 1112 10 20
build.js:112 1113 10 20
build.js:112 1114 10 20
build.js:112 1115 10 20
build.js:112 1116 10 20
build.js:112 1117 10 20
build.js:112 1118 10 20
build.js:112 1119 10 20
build.js:112 1120 10 20
build.js:112 1121 10 20
build.js:112 1122 10 20
build.js:112 1123 10 20
build.js:112 1124 10 20
build.js:112 1125 10 20
build.js:112 1126 10 20
build.js:112 1127 10 20
build.js:112 1128 10 20
build.js:112 1129 10 20
build.js:112 1130 10 20
build.js:112 1131 10 18
build.js:112 1132 8 20
build.js:112 1133 8 20
build.js:112 1134 8 20
build.js:112 1135 8 20
build.js:112 1136 8 20
build.js:112 1137 8 19
build.js:112 1138 7 19
build.js:112 1139 6 20
build.js:112 1140 6 20
build.js:112 1141 6 20
build.js:112 1142 6 20
build.js:112 1143 6 20
build.js:112 1144 6 20
build.js:112 1145 6 20
build.js:112 1146 6 20
build.js:112 1147 6 20
build.js:112 1148 6 20
build.js:112 1149 6 20
build.js:112 1150 6 20
build.js:112 1151 6 20
build.js:112 1152 6 20
build.js:112 1153 6 20
build.js:112 1154 6 20
build.js:112 1155 6 20
build.js:112 1156 6 20
build.js:112 1157 6 20
build.js:112 1158 6 20
build.js:112 1159 6 20
build.js:112 1160 6 20
build.js:112 1161 6 20
build.js:112 1162 6 20
build.js:112 1163 6 20
